titles,category
   중동 확전 대비 비상계획 착수 민간인 대피 논의중 ,World
 뉴스속 용어  이 팔 전쟁  불똥 튄 호르무즈 해협,World
태양과 달이 선사하는  금반지    일  서  금환일식  볼 수 있다,World
가자당국  이스라엘이  금기  백린탄 쐈다  불바다 영상 퍼져,World
다국적기업 유치로 부국 된 아일랜드    조  국부펀드  만든다,World
  무기 실은 수송기 이스라엘 도착   인질 구조 특수부대도 파견,World
 에너지사  이스라엘 가스전 폐쇄  글로벌 시장 우려 ,World
  하원  새 의장 투표 논의 시작     일 선출 목표,World
레바논 시리아도 이스라엘 공격    확전 대비 비상계획 수립,World
인구   년 만에     만 늘어난  이 나라  비결은 ,World
이스라엘군    만 병력 가자지구 인근 배치 완료  지상전 일촉즉발,World
러 항공사  제재로 미국산 엔진 수리 불가에 항공기 운항 줄여,World
 자막뉴스     필요한 조치할 것    동결자금 걸린 이란에  엄포 ,World
이스라엘 지상전 가자 전체 전장서 백병전으로  도처에 부비트랩,World
바이든  하마스는 완전한 악 피에 굶주린 잔인함    떠올라 ,World
지갑 닫은   명품족    루이비통도 성장세 꺾여,World
 대의 위해 비행기 탔다  이스라엘  전세계서 예비군   만명 총동원령  이 팔 전쟁 ,World
예비군 연령 넘겼지만 이스라엘   세 경영인  두 아들과 입대 ,World
 영상   철검 에 초토화된 가자지구 이  침투 시도 하마스 사살 ,World
중국  이스라엘   팔레스타인에 모두 여행 금지령,World
이스라엘  가자지구   곳 추가 공습 희생자     명 넘어,World
영국도  빈대주의보  런던 지하철 맨체스터 버스서 빈대 출몰,World
지상군 투입 임박    국민들  마음의 준비하고 있어    녹취록 ,World
카타르  협상 중재  손사래   너무 이르다   이 팔 전쟁 ,World
 무소속 출마  케네디   대선판도 흔들까  출마  시간만    억원 모금  돌풍 ,World
 전기차 불공정 보조금 조사 나선     풍력 철강도 해보자 ,World
  시카고에서 철새 약  천마리 떼죽음  충격  집단 폐사 이유는 ,World
 뉴스앤이슈   경보 울리면 방공호 대피    현지 상황은 ,World
  서열  위 하원의장 선출 코앞인데 누구 하나    표 얻을 사람이 없네,World
중동전쟁 국채수익률 급등   금리인상 물건너간 듯,World
러시아 인접 핀란드 에스토니아 연결 해저 가스관 파손  사보타주 가능성,World
이스라엘  접경지역 주민에 대피령 지상전 임박했나,World
    중국 전기차 이어 철강도 반보조금 조사,World
바이든  이스라엘  반격하되 국제법 지켜야     유엔   도 우려,World
하원의장 선거     공화당  분열 지속 후보 결론 못 낸듯,World
대만총통 선거 석달 앞  야권 단일화 논의 최대 변수 제 야당 후보  여론조사  제안,World
영국 정부는 왜  금연세대 정책 을 내놓았을까 ,World
세계가 우려하는 일이   시리아 레바논서도 이스라엘 공격  지금이뉴스 ,World
 울 할아버지 재산은 수백억원     손녀     자랑에     대 공산당원  제명 ,World
 안보보좌관  모든 긴장고조 시나리오 대비 비상계획 수립 ,World
 하마스  암호화폐로 수천만달러 자금 조성 정황  이 팔 전쟁 ,World
중동 화약고 또 시한폭탄되나 바이든  악    시아파  개입말라 ,World
   경제정책  삐걱   마크롱과 숄츠의 어색한 관계 탓  조은아의 유로노믹스 ,World
 영상  아이언 돔도 당했는데   장사정포  벌떼 공격  막을 수 있나,World
 올댓차이나  홍콩 증시    경기부양 기대에 상승 개장  주       ,World
바이든  이스라엘에 필요한 군사자산 투입 준비돼 있다 ,World
이스라엘군 가자 장벽에 수십만 병력 탱크 집결  수일 내 지상작전 관측 ,World
이스라엘 국방  지상전 곧 개시   가자인근 병력집결  주민엔 대피령,World
이스라엘  전투기    대 등 전력 압도  하마스는 미사일  만기 보유,World
 철의 검  이스라엘  제약 해제  전면 공격  군에 백지위임장 ,World
임박한 이스라엘 지상군 투입   가자 점령  아닌  하마스 무력화  목표,World
 다윗  필리핀  미국 뒷배 믿고  골리앗  중국과 맞짱,World
전세계서 귀국 이스라엘  예비군   만명 총동원,World
이스라엘  전면적 공격  예고 양측 사망자     명 넘어,World
도대체 왜    곳곳서  원인불명 쓰나미  속출  긴급 기자회견까지,World
 스브스픽   대지진 전조   일본 잇따르는  원인 불명  쓰나미,World
